M,Mn,M_EN,Mr,LC_a,CD,IC,EC
0.04,1.96,2.04,179.05,8.256,59.2,95,70.11
0.05,1.94,1.88,180.33,8.235,59.2,122,97.94
0.05,1.94,1.91,180.39,8.238,59.2,125,98.99
0.05,1.96,1.61,179.62,8.238,59.2,133,100.02
0.1,1.9,1.61,178.02,8.235,133,106.39,96.45
0.2,1.8,1.61,175.23,8.219,133,99.77,88.58
0.04,1.96,1.66,180.7,8.209,21.4,120.61,106.86
0.06,1.94,1.66,180.64,8.201,21.4,119.84,110.27
0.08,1.92,1.66,180.58,8.2,21.4,117.15,107.78
0.1,1.9,1.66,180.52,8.196,21.4,112.52,105.64
0.01,1.99,1.12,181.67,8.182,74,135,130.76
0.03,1.97,1.12,183.37,8.193,74,130,127.01
0.05,1.95,1.12,185.08,8.199,74,126,125.7
0.1,1.9,1.12,189.33,8.21,74,119,118.68
0.04,1.96,1.36,180.42,8.23,148,119,107.46
0.06,1.94,1.36,180.22,8.229,148,119,113.47
0.08,1.92,1.36,180.02,8.227,148,115,110.71
0.1,1.9,1.36,179.82,8.225,148,111,107.88
0.08,1.92,1.91,181.12,8.221,148,93.6,83.64
0.08,1.92,1.91,181.12,8.227,148,100.2,96.27
0.08,1.92,1.91,181.12,8.227,148,105,103.01
0.08,1.92,1.91,181.12,8.23,148,93.2,89.01
0.02,1.98,1.31,180.2,8.229,74,123.4,114.89
0.05,1.95,1.31,179.29,8.22,74,122,118
0.1,1.9,1.31,177.75,8.217,74,109.2,105.71
0.1,1.9,1.61,178.02,8.211,150,97.59,96.45
0.1,1.9,1.61,178.02,8.211,25.2,111.02,99.58
0.1,1.9,1.91,181.19,8.227,23,117,109.7
0.02,1.98,1.66,180.76,8.214,53.81,99.35,97.46
0.05,1.95,1.66,180.67,8.218,53.81,103.98,101.42
0.1,1.9,1.66,180.52,8.215,53.81,116.91,109.42
0.05,1.95,1.66,180.67,8.243,74,117.82,112.51
0.1,1.9,1.66,180.52,8.24,74,109.78,106.89
0.15,1.85,1.66,180.38,8.235,74,102.65,101.54
0.2,1.8,1.66,180.23,8.235,74,110.47,108.55
0.04,1.96,1.2,184.91,8.241,80,70.3,64.27
0.01,1.99,1.65,180.92,8.182,74,129,127.94
0.05,1.95,1.65,181.34,8.193,74,126,125.36
0.1,1.9,1.65,181.86,8.2,74,123,122
0.15,1.85,1.65,182.38,8.212,74,118,113.35
0.1,1.9,1.9,178.13,8.246,83.5,123.35,112.72
0.08,1.92,1.9,178.67,8.248,83.5,132.23,121.89
0.05,1.95,1.9,179.47,8.247,83.5,134.47,127.1
0.02,1.98,1.9,180.28,8.246,83.5,130.06,116.84
0.01,1.99,1.91,180.85,8.246,148,109.8,97.4
0.03,1.97,1.91,181.19,8.244,148,107.8,103.5
0.05,1.95,1.91,181.19,8.241,148,104.5,101.17
0.08,1.92,1.91,181.19,8.239,148,104.93,101.3
0.1,1.9,1.91,181.19,8.236,148,99.3,95.52
0.02,1.98,1.96,182.09,8.215,32,122.74,120.58
0.04,1.96,1.96,183.37,8.209,32,112.79,111.62
0.05,1.95,1.61,179.42,8.238,148,121.04,119.51
0.1,1.9,1.61,178.02,8.238,148,116.52,116.3
0.15,1.85,1.61,176.62,8.228,148,107.98,107.5
0.2,1.8,1.61,175.23,8.23,148,94.59,93.98
0.01,1.99,1.14,181.71,8.254,20,149,130.6
0.1,1.9,2.04,176.4,8.173,74,53.33,43.33
0.2,1.8,2.04,171.99,8.247,74,63.68,56.49
0.3,1.7,2.04,167.58,8.246,74,91.75,81.75
0.4,1.6,2.04,163.17,8.233,74,50.18,44.74
0.08,1.92,1.31,178.37,8.211,26,98.68,96.57
0.08,1.92,1.31,178.37,8.212,26,99.63,99.05
0.08,1.92,1.31,178.37,8.214,26,101.15,100.57
0.08,1.92,1.31,178.37,8.227,26,106.87,102.48
0.08,1.92,1.31,178.37,8.236,26,90.87,82.48
0.02,1.98,1.31,180.2,8.227,30,105.24,97.62
0.04,1.96,1.31,179.59,8.223,30,106.69,100.94
0.06,1.94,1.31,178.98,8.221,30,100.33,95.6
0.08,1.92,1.31,178.37,8.22,30,99.18,96.75
0.1,1.9,1.31,177.75,8.217,30,97.01,94.3
0.15,1.85,1.31,176.22,8.21,30,88.06,85.92
0.1,1.9,1.81,182.3,8.217,148,97.83,94.2
0.05,1.95,1.9,179.47,8.237,148,141.34,134.89
0.02,1.98,1.61,180.26,8.218,29.6,112.23,100.46
0.04,1.96,1.61,179.7,8.216,29.6,108.7,101.64
0.08,1.92,1.61,178.58,8.214,29.6,100.34,95.05
0.02,1.98,1.65,181.03,8.247,148,113,102.86
0.02,1.98,1.88,180.9,8.226,148,124,113.81
0.02,1.98,1.91,180.89,8.215,148,127,120.78
0.02,1.98,1.78,182.01,8.11,148,134,124.6
0.05,1.95,1.61,179.42,8.211,42,126.2,121.32
0.05,1.95,1.31,179.42,8.209,42,127.9,123.09
0.06,1.94,1.31,178.98,8.229,55,123.19,120.96
0.06,1.94,1.9,179.21,8.234,55,134.68,120.32
0.16,1.84,1.88,181.46,8.21,30,96.7,94.74
0.1,1.9,2.2,185.43,8.25,17,102.55,84.9
0.25,1.75,2.2,192.35,8.249,17,117.82,90
0.02,1.98,1.65,181.03,8.194,148,107.5,95.05
0.05,1.95,1.65,181.34,8.184,148,102.6,93.27
0.1,1.9,1.65,181.86,8.181,148,96.2,91.88
0.02,1.98,1.2,182.86,8.238,148,112.11,105
0.04,1.96,1.2,184.91,8.23,148,104.21,99.47
0.08,1.92,1.2,189,8.212,148,82.89,79.74
0.02,1.98,1.61,180.26,8.235,50,127.81,124.11
0.05,1.95,1.61,179.42,8.222,50,117.54,117.24
0.08,1.92,1.61,178.58,8.217,50,118.09,116.54
0.02,1.98,1.61,180.26,8.243,20,126.71,109.99
0.1,1.9,1.61,178.02,8.228,20,95.09,84.5
0.5,1.5,1.91,182.69,8.176,148,113.2,109.23
0.5,1.5,1.91,182.69,8.182,75,122.65,119.44
0.5,1.5,1.91,182.69,8.179,75,127.1,123.77
0.5,1.5,1.91,182.69,8.176,75,130.7,130.64